,Image,F1,Jaccard,Recall,Precision
152,archive\images\2992.png,0.9682268534335498,0.93841059602649,0.9610037300779926,0.9755593803786575
153,archive\images\1968.png,0.88802543270929,0.7986022871664549,0.8568507157464212,0.9215542521994134
154,archive\images\1191.png,0.905940594059406,0.8280542986425339,0.9320882852292021,0.8812199036918138
155,archive\images\2956.png,0.6494845360824743,0.48091603053435117,0.5121951219512195,0.8873239436619719
156,archive\images\2187.png,0.9409486931268151,0.8884826325411335,0.9310344827586207,0.9510763209393346
157,archive\images\2248.png,0.8578227245687091,0.7510416666666667,0.8119369369369369,0.9092055485498108
158,archive\images\1452.png,0.9341692789968652,0.8764705882352941,0.9030303030303031,0.9675324675324676
159,archive\images\2525.png,0.6724447101016139,0.5065285907248986,0.8052970651395849,0.5772190867111339
160,archive\images\1108.png,0.8115246098439376,0.6828282828282828,0.8407960199004975,0.7842227378190255
161,archive\images\2787.png,0.6454402515723271,0.4764944863609983,0.513125,0.8697033898305084
162,archive\images\602.png,0.9100436681222708,0.8349358974358975,0.8533988533988534,0.9747427502338635
163,archive\images\227.png,0.7909774436090226,0.654228855721393,0.9704797047970479,0.6675126903553299
164,archive\images\1567.png,0.9554896142433235,0.9147727272727273,0.9415204678362573,0.9698795180722891
165,archive\images\1076.png,0.0,0.0,0.0,0.0
166,archive\images\2565.png,0.9005186232909005,0.8190394511149228,0.8287532542667052,0.9858912594631797
167,archive\images\1075.png,0.006756756756756757,0.003389830508474576,0.003389830508474576,1.0
168,archive\images\824.png,0.23787409700722395,0.1349926793557833,0.1349926793557833,1.0
169,archive\images\2543.png,0.9326980345443716,0.8738839285714286,0.9987244897959183,0.8748603351955307
170,archive\images\460.png,0.9651741293532339,0.9326923076923077,0.9509803921568627,0.9797979797979798
171,archive\images\1751.png,0.9471698113207547,0.899641577060932,0.9653846153846154,0.9296296296296296
172,archive\images\1390.png,0.9424157303370787,0.8911022576361222,0.9030955585464334,0.9853157121879589
173,archive\images\754.png,0.6437448218724109,0.4746487477092242,0.47697974217311234,0.9898089171974522
174,archive\images\117.png,0.5501739363125502,0.37947582133628643,0.39132089836315187,0.9261261261261261
175,archive\images\941.png,0.8689771766694844,0.7683109118086696,0.8756388415672913,0.8624161073825504
176,archive\images\347.png,0.9447316103379721,0.8952524491333835,0.9519230769230769,0.9376479873717443
177,archive\images\247.png,0.9069767441860465,0.8297872340425532,0.972568578553616,0.8496732026143791
178,archive\images\837.png,0.0,0.0,0.0,0.0
179,archive\images\1225.png,0.9025641025641026,0.822429906542056,0.8407643312101911,0.974169741697417
180,archive\images\1428.png,0.9646302250803859,0.9316770186335404,0.9493670886075949,0.9803921568627451
181,archive\images\2926.png,0.321875,0.19180633147113593,0.19180633147113593,1.0
182,archive\images\1774.png,0.8751529987760098,0.7780195865070729,0.975443383356071,0.7935627081021087
183,archive\images\2107.png,0.8611698379140239,0.7561881188118812,0.836986301369863,0.8867924528301887
184,archive\images\552.png,0.9302554027504911,0.869605142332415,0.9783057851239669,0.8867041198501873
185,archive\images\925.png,0.9556420233463035,0.9150521609538003,0.9388379204892966,0.9730586370839936
186,archive\images\284.png,0.0,0.0,0.0,0.0
187,archive\images\2780.png,0.01263157894736842,0.006355932203389831,0.006355932203389831,1.0
188,archive\images\860.png,0.6625631313131313,0.4953976870427189,0.4962174940898345,0.99667616334283
189,archive\images\375.png,0.9750132908027644,0.9512448132780082,0.9821492324169939,0.9679802955665024
190,archive\images\834.png,0.8060249816311535,0.6750769230769231,0.7835714285714286,0.829803328290469
191,archive\images\2642.png,0.0,0.0,0.0,0.0
192,archive\images\1375.png,0.8010335917312662,0.6681034482758621,0.9935897435897436,0.670995670995671
193,archive\images\681.png,0.9811690859160455,0.9630342703118984,0.9908874801901744,0.9716394716394716
194,archive\images\384.png,0.970316301703163,0.94234404536862,0.9930278884462151,0.9486203615604186
195,archive\images\2154.png,0.0,0.0,0.0,0.0
196,archive\images\1657.png,0.9262536873156342,0.8626373626373627,0.9751552795031055,0.8820224719101124
197,archive\images\69.png,0.9547088425593099,0.9133425034387895,0.9837037037037037,0.9273743016759777
198,archive\images\1568.png,0.906318082788671,0.8286852589641435,0.9629629629629629,0.8559670781893004
199,archive\images\222.png,0.9797047970479705,0.9602169981916817,0.9779005524861878,0.9815157116451017
200,archive\images\269.png,0.9131205673758865,0.8401305057096248,0.9698681732580038,0.8626465661641541
201,archive\images\3041.png,0.0,0.0,0.0,0.0
202,archive\images\1043.png,0.8601346297681376,0.7545931758530183,0.7697456492637216,0.9745762711864406
203,archive\images\2479.png,0.8471337579617835,0.7348066298342542,0.9094017094017094,0.7928464977645305
204,archive\images\2550.png,0.5229741019214703,0.35407239819004527,0.5743119266055046,0.48006134969325154
205,archive\images\393.png,0.6086956521739131,0.4375,0.4375,1.0
206,archive\images\110.png,0.5079662605435802,0.34045226130653267,0.3452229299363057,0.9609929078014184
207,archive\images\3033.png,0.95382642154767,0.911728647323253,0.9356259173830992,0.9727490734684979
208,archive\images\2233.png,0.7852664576802508,0.6464516129032258,0.8441449031171019,0.734065934065934
209,archive\images\2965.png,0.2577978203682826,0.14797238999137188,0.15326184092940126,0.8108747044917257
210,archive\images\581.png,0.9726396917148362,0.9467366841710427,0.9921383647798742,0.9538926681783825
211,archive\images\1089.png,0.801123595505618,0.6682286785379569,0.674550614947966,0.9861687413554634
212,archive\images\2627.png,0.0,0.0,0.0,0.0
213,archive\images\1411.png,0.8365758754863813,0.7190635451505016,0.7288135593220338,0.9817351598173516
214,archive\images\244.png,0.9620615604867573,0.926896551724138,0.9641319942611191,0.96
215,archive\images\2609.png,0.9243937232524965,0.8594164456233422,0.9301435406698565,0.9187145557655955
